route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
HC Station to Orewa via Silverdale and Millwater,3,,NZBNS,98502-20170524122152_v54.17,,985
Meadowood To Albany Schools,3,,RTH,06055-20170524122152_v54.17,,060
Carmel And Westlake Schools To Chatswood,3,,BTL,00360-20170524122152_v54.17,,003
Mayoral Dr To Glenfield Shops Via Coronation Rd,3,,NZBNS,95202-20170524122152_v54.17,,952
Botany Town Centre To Manukau Station Via Preston Rd,3,,HE,35302-20170524122152_v54.17,,353
Salisbury Rd To Westlake Schools,3,,BTL,00761-20170524122152_v54.17,,007
Botany Downs To Epsom Schools,3,,HE,01051-20170524122152_v54.17,,010
Bayview To Midtown,3,,BTL,95501-20170524122152_v54.17,,955
Pukekohe Interchange To Waiuku Via Patumahoe,3,,RTH,39602-20170524122152_v54.17,,396
Airport To 380 Queen St Via Mt Eden Rd,3,,ABEXP,30009-20170524122152_v54.17,,SKY
One Tree Hill College To Otahuhu Town Centre,3,,GBT,06752-20170524122152_v54.17,,067
City Centre To Te Atatu Peninsula Express,3,,NZBGW,04012-20170524122152_v54.17,,04X
Northcross Intermediate To Long Bay College,3,,BAYES,02860-20170524122152_v54.17,,028
Bayswater To Auckland,4,,FGL,90011-20170524122152_v54.17,,BAYS
City Centre To Westgate via Waimumu Road,3,,RTH,07002-20170524122152_v54.17,,070
St Heliers To Epsom Schools Via Glendowie,3,,NZBML,01551-20170524122152_v54.17,,015
Britomart Train Station to Swanson Train Station,2,,AM,10228-20170524122152_v54.17,,WEST
Bayswater Wharf To Takapuna Via Milford,3,,RTH,80301-20170524122152_v54.17,,803
Ellerslie Station to Middlemore Station via Otahuhu,3,,NZBML,32104-20170524122152_v54.17,,321
Beach Haven to Auckland via Hobsonville Indirect,4,,360D,96019-20170524122152_v54.17,,HOBS
KingsWay School To Manly,3,,BAYES,01460-20170524122152_v54.17,,014
Gulf Harbour To Northcross Intermediate,3,,BAYES,02653-20170524122152_v54.17,,026
Lucerne Rd To City Centre Via Benson Rd,3,,NZBML,60501-20170524122152_v54.17,,605
HC Station To Gulf Harbour,3,,NZBNS,98204-20170524122152_v54.17,,982
Henderson To Te Atatu Intermediate,3,,RTH,02253-20170524122152_v54.17,,022
Howick To Manukau City Centre Via Botany Town Centre,3,,HE,58002-20170524122152_v54.17,,580
Te Atatu Peninsula To New Lynn,3,,NZBGW,12101-20170524122152_v54.17,,121
City Centre To Henderson Via Glen Eden,3,,NZBGW,15402-20170524122152_v54.17,,154
Sylvia Park To Mangere Town Centre Via Otahuhu,3,,GBT,03202-20170524122152_v54.17,,32
Stonefields To Baradene College,3,,HE,02355-20170524122152_v54.17,,023
Smales Farm To Westgate,3,,RTH,13009-20170524122152_v54.17,,130
Britomart Train Station to Otahuhu Train Station,2,,AM,20368-20170524122152_v54.17,,STH
Takapuna To Glenfield,3,,BTL,91506-20170524122152_v54.17,,915
Mt Albert Grammar To Epsom,3,,NZBML,00756-20170524122152_v54.17,,007
Somerville Intermediate To Golflands,3,,HE,31452-20170524122152_v54.17,,314
Wairau Rd To Auckland University,3,,BTL,95101-20170524122152_v54.17,,951
Onehunga High To Mangere,3,,GBT,00554-20170524122152_v54.17,,005
Whangaparaoa College To Gulf Harbour,3,,BAYES,02060-20170524122152_v54.17,,020
Ellerslie Primary To Mt Wellington,3,,NZBML,06356-20170524122152_v54.17,,063
Smales Rd To Howick College And Somerville Intermediate,3,,HE,32251-20170524122152_v54.17,,322
Glen Innes To Britomart Via Grand Dr And Parnell,3,,NZBML,63501-20170524122152_v54.17,,635
Britomart to Otahuhu via Carbine Road,3,,NZBML,53206-20170524122152_v54.17,,532
Onehunga To City Centre Express Via One Tree Hill,3,,NZBML,31005-20170524122152_v54.17,,31X
Rocky Bay To Matiatia Wharf via Pacific Pde,3,,WBC,00203-20170524122152_v54.17,,2X
Botany To Howick Schools,3,,HE,31451-20170524122152_v54.17,,314
Botany Town Centre To Beachlands,3,,HE,58902-20170524122152_v54.17,,589
Onehunga To City Centre Via Oranga,3,,NZBML,31201-20170524122152_v54.17,,312
Outer Link Newmarket To CBD Anticlockwise,3,,NZBML,72103-20170524122152_v54.17,,OUT
Glendowie College To Ellerslie,3,,NZBML,07154-20170524122152_v54.17,,071
Henderson To City Centre Express Via Glen Eden,3,,NZBGW,15011-20170524122152_v54.17,,15X
Botany Downs To Sancta Maria College,3,,HE,08953-20170524122152_v54.17,,089
Rangitoto College To Browns Bay Shops Via Beach Rd,3,,NZBNS,06254-20170524122152_v54.17,,062
Waiuku To Pukekohe Interchange Via Patumahoe,3,,RTH,39601-20170524122152_v54.17,,396
Midtown To New Lynn,3,,NZBGW,22302-20170524122152_v54.17,,223
Panmure To Baradene College,3,,HE,02255-20170524122152_v54.17,,022
Pukekohe South Loop,3,,RTH,39302-20170524122152_v54.17,,393
City Centre To Pt Chevalier,3,,NZBML,03002-20170524122152_v54.17,,030
Wesley To Midtown,3,,NZBML,24601-20170524122152_v54.17,,246
Auckland To Rakino Island,4,,BFL,99112-20170524122152_v54.17,,RAK
Onetangi To Matiatia Wharf Via Seaview Rd,3,,WBC,00105-20170524122152_v54.17,,1A
City To Papakura Via Great South Rd (S),3,,RTH,11018-20170524122152_v54.17,,N11
Half Moon Bay To Botany Town Centre Via Gossamer Dr,3,,HE,56501-20170524122152_v54.17,,565
Papatoetoe Intermediate To Papatoetoe Town Hall,3,,GBT,02554-20170524122152_v54.17,,025
Kingsland Train Station to Britomart Train Station,2,,AM,10013-20170524122152_v54.17,,WEST
Midtown To New Lynn (S),3,,NZBGW,22306-20170524122152_v54.17,,223
Britomart Train Station to Henderson Train Station,2,,AM,10252-20170524122152_v54.17,,WEST
Mangere To St Josephs School (Onehunga),3,,GBT,08451-20170524122152_v54.17,,084
City Link To Wynyard Quarter Via Greys Ave,3,,NZBML,79702-20170524122152_v54.17,,CTY
Epsom Schools To Remuera,3,,NZBML,02852-20170524122152_v54.17,,028
Epsom Schools To Kohimarama,3,,NZBML,00152-20170524122152_v54.17,,001
New Lynn To Henderson Via Glen Eden And Rosier Rd,3,,NZBGW,15304-20170524122152_v54.17,,153
Swanson Train Station to Britomart Train Station,2,,AM,10091-20170524122152_v54.17,,WEST
International Airport To Downtown Via Dominion Rd,3,,ABEXP,30007-20170524122152_v54.17,,SKY
Long Bay College To Murrays Bay,3,,NZBNS,05354-20170524122152_v54.17,,053
Midtown To New Lynn Via Sandringham Road,3,,NZBML,24302-20170524122152_v54.17,,243
Northcross Intermediate To Silverdale,3,,BAYES,02958-20170524122152_v54.17,,029
Everglades To Manurewa Via Manukau Station,3,,RTH,36604-20170524122152_v54.17,,366
One Tree Hill College To Otahuhu,3,,GBT,06454-20170524122152_v54.17,,064
Chatswood To Birkenhead Schools,3,,BTL,07955-20170524122152_v54.17,,079
Windy Ridge To Takapuna Via North Shore Hospital,3,,NZBNS,91301-20170524122152_v54.17,,913
Takapuna To Windy Ridge,3,,NZBNS,91304-20170524122152_v54.17,,913
Rosehill College To Manurewa,3,,RTH,05752-20170524122152_v54.17,,057
Britomart Train Station to Swanson Train Station,2,,AM,10232-20170524122152_v54.17,,WEST
Manukau Station To Onehunga Via Papatoetoe & Mangere,3,,GBT,31302-20170524122152_v54.17,,313
One Tree Hill College To Mt Wellington,3,,NZBML,06358-20170524122152_v54.17,,063
Torbay To Mayoral Dr,3,,NZBNS,83701-20170524122152_v54.17,,837
Glendene To Rutherford College,3,,RTH,01351-20170524122152_v54.17,,013
Albany Junior High To Meadowood,3,,RTH,06052-20170524122152_v54.17,,060
Farm Cove Intermediate To Golflands,3,,HE,07852-20170524122152_v54.17,,078
Downtown To Airport Via Mt Eden Rd,3,,ABEXP,30002-20170524122152_v54.17,,SKY
Civic Centre To Lynfield Express,3,,NZBML,26700-20170524122152_v54.17,,267X
Papakura Train Station to Britomart Train Station,2,,AM,20419-20170524122152_v54.17,,STH
City Centre To Henderson And Liston College Via Glendene,3,,NZBGW,11306-20170524122152_v54.17,,113
Epsom Schools To Glen Innes,3,,NZBML,00956-20170524122152_v54.17,,009
Civic Centre To Lynfield (S),3,,NZBML,26706-20170524122152_v54.17,,267
Blockhouse Bay To City Centre Express,3,,NZBML,24003-20170524122152_v54.17,,240X
Britomart Train Station to Manukau Train Station,2,,AM,50152-20170524122152_v54.17,,EAST
Papakura Train Station to Britomart Train Station,2,,AM,20429-20170524122152_v54.17,,STH
McAuley High To Onehunga Transport Centre,3,,GBT,00156-20170524122152_v54.17,,001
Massey West To Hobsonville Primary,3,,RTH,00153-20170524122152_v54.17,,001
Our Lady Star Of The Sea School To Cockle Bay And Golflands,3,,HE,32552-20170524122152_v54.17,,325
Westlake Girls To Beach Haven,3,,BTL,01058-20170524122152_v54.17,,010
Farm Cove Int And St Marks To Pakuranga Plaza,3,,HE,08552-20170524122152_v54.17,,085
Farm Cove Intermediate To Botany Downs,3,,HE,32452-20170524122152_v54.17,,324
Gulf Harbour To Kingsway School,3,,BAYES,01253-20170524122152_v54.17,,012
Airport To Downtown Via Mt Eden Rd,3,,ABEXP,30001-20170524122152_v54.17,,SKY
Orewa To HC Station,3,,NZBNS,98107-20170524122152_v54.17,,981
Dannemora To Macleans College,3,,HE,30251-20170524122152_v54.17,,302
Westgate To Hobsonville Point Wharf,3,,RTH,09208-20170524122152_v54.17,,092
Constellation Station To City Centre Express Via Sunnynook,3,,NZBNS,87303-20170524122152_v54.17,,873X
Bucklands Beach To Panmure Via Half Moon Bay,3,,HE,55213-20170524122152_v54.17,,552
Takapuna To Glenfield Via Marlborough,3,,RTH,94501-20170524122152_v54.17,,945
Kingsland Train Station to Britomart Train Station,2,,AM,10167-20170524122152_v54.17,,WEST
Mangere Town Centre To Otahuhu Station Via Tidal Road,3,,GBT,32601-20170524122152_v54.17,,326
Manukau Train Station to Britomart Train Station,2,,AM,50161-20170524122152_v54.17,,EAST
Remuera Intermediate To Kohimarama Via Meadowbank,3,,NZBML,05554-20170524122152_v54.17,,055
Panmure To Britomart Via Glen Innes And Mission Bay,3,,NZBML,75601-20170524122152_v54.17,,756
City Centre (Wellesley St) to Gulf Harbour via HC Station,3,,NZBNS,99204-20170524122152_v54.17,,992X
Wiri Industrial Loop Clockwise,3,,RTH,36801-20170524122152_v54.17,,368
Glenfield College To Totaravale,3,,BTL,07854-20170524122152_v54.17,,078
Rangitoto College To Unsworth Heights,3,,NZBNS,01358-20170524122152_v54.17,,013
Mangere Bridge Shops To Seventh Day Adventist Primary,3,,GBT,00253-20170524122152_v54.17,,002
Onewa To Auckland (S),3,,BTL,52905-20170524122152_v54.17,,N97
Manukau To Onehunga Via Airport,3,,GBT,38011-20170524122152_v54.17,,380
Alfriston Sch to Flat Bush and Alfrsiton Col to Takanini,3,,RTH,00362-20170524122152_v54.17,,003
Henderson To Westgate,3,,RTH,08008-20170524122152_v54.17,,080
Britomart To Glendowie,3,,NZBML,76702-20170524122152_v54.17,,767
Westlake Girls To Browns Bay,3,,NZBNS,87552-20170524122152_v54.17,,875
Remuera To Britomart Via Portland Rd,3,,NZBML,70303-20170524122152_v54.17,,703
Whangaparaoa College To Army Bay,3,,BAYES,01958-20170524122152_v54.17,,019
Takapuna To Bayview,3,,BTL,91504-20170524122152_v54.17,,915
St Josephs School To Orewa,3,,NZBNS,04660-20170524122152_v54.17,,046
City Centre To Te Atatu South Via New Lynn And Henderson,3,,NZBML,52103-20170524122152_v54.17,,N13
Remuera Schools To New Lynn Via Titirangi,3,,RTH,00658-20170524122152_v54.17,,006
Brightside Rd To Orewa College,3,,BAYES,00755-20170524122152_v54.17,,007
Westlake Schools To Torbay Via Beach Rd,3,,NZBNS,05058-20170524122152_v54.17,,050
Highbury To Massey University,3,,RTH,55504-20170524122152_v54.17,,555
Panmure To Britomart Via Mission Bay,3,,NZBML,74503-20170524122152_v54.17,,745
Britomart to Otahuhu Station via Great South Road,3,,NZBML,32202-20170524122152_v54.17,,322
Half Moon Bay To Auckland,4,,FGL,95011-20170524122152_v54.17,,HMB
Sunnynook To East Coast Bays Schools.,3,,NZBNS,02857-20170524122152_v54.17,,028
Kingsland Train Station to Britomart Train Station,2,,AM,10019-20170524122152_v54.17,,WEST
Rosehill Intermediate To Manurewa Via Conifer Grove,3,,RTH,05854-20170524122152_v54.17,,058
Favona To Onehunga Schools,3,,GBT,05851-20170524122152_v54.17,,058
Albany Junior High To Greenhithe,3,,RTH,11652-20170524122152_v54.17,,116
Stanley Bay To Westlake Schools,3,,RTH,08751-20170524122152_v54.17,,087
Papatoetoe Intermediate To Middlemore Hospital,3,,GBT,02754-20170524122152_v54.17,,027
Airport To 380 Queen St Via Dominion Rd,3,,ABEXP,30011-20170524122152_v54.17,,SKY
Rocky Bay To Matiatia Via Onetangi and Ostend,3,,WBC,00301-20170524122152_v54.17,,3
Britomart To Cockle Bay and Botany Via Newmarket,3,,HE,55006-20170524122152_v54.17,,550
Britomart Train Station to Otahuhu Train Station,2,,AM,20362-20170524122152_v54.17,,STH
Diocesan School To Botany Downs,3,,HE,07152-20170524122152_v54.17,,071
Henderson To New Lynn Via Glendene,3,,NZBGW,11503-20170524122152_v54.17,,115
Westlake Schools To Bayview,3,,BTL,00858-20170524122152_v54.17,,008
Half Moon Bay To Botany Town Centre,3,,HE,57505-20170524122152_v54.17,,575
St Ignatius School To Glendowie,3,,NZBML,01156-20170524122152_v54.17,,011
Waiuku To Papakura Interchange,3,,RTH,39501-20170524122152_v54.17,,395
Palm Road To Waiheke Primary,3,,WBC,09451-20170524122152_v54.17,,094
Mayoral Dr To Long Bay Express,3,,NZBNS,76004-20170524122152_v54.17,,76X
Titirangi South To New Lynn,3,,NZBGW,17001-20170524122152_v54.17,,170
Orewa To Whangaparaoa College,3,,BAYES,01853-20170524122152_v54.17,,018
Gulf Harbour To Stella Maris School,3,,BAYES,02251-20170524122152_v54.17,,022
Puhinui To Papatoetoe Schools,3,,GBT,02953-20170524122152_v54.17,,029
Whangaparaoa College To Orewa,3,,BAYES,01856-20170524122152_v54.17,,018
Orewa College To Brightside Rd,3,,BAYES,00758-20170524122152_v54.17,,007
Waikowhai To Britomart,3,,NZBML,27701-20170524122152_v54.17,,277
Midtown To Verrans Corner Via Highbury Shops,3,,BTL,97302-20170524122152_v54.17,,973
Midtown To Bayview,3,,BTL,95502-20170524122152_v54.17,,955
Waiheke Primary To Palm Rd,3,,WBC,09452-20170524122152_v54.17,,094
Botany Town Centre To Maraetai,3,,HE,58904-20170524122152_v54.17,,589
Howick College To Mirrabooka And Burswood Dr,3,,HE,31052-20170524122152_v54.17,,310
Midtown To New Lynn Express Via Owairaka,3,,NZBML,24306-20170524122152_v54.17,,243X
Inner Link Clockwise,3,,NZBML,79902-20170524122152_v54.17,,INN
Constellation Station To City Centre Express,3,,NZBNS,87403-20170524122152_v54.17,,874X
Westlake Girls To Verrans Corner,3,,BTL,00960-20170524122152_v54.17,,009
Blockhouse Bay Intermediate To New Lynn,3,,RTH,00852-20170524122152_v54.17,,008
Auckland To Devonport,4,,FGL,92012-20170524122152_v54.17,,DEV
Howick College To Panmure,3,,HE,30352-20170524122152_v54.17,,303
Hobsonville Primary To Massey West,3,,RTH,00174-20170524122152_v54.17,,001
Britomart To Waikowhai,3,,NZBML,27702-20170524122152_v54.17,,277
Royal Oak Intermediate To Mangere,3,,GBT,00356-20170524122152_v54.17,,003
Onehunga Train Station to Newmarket Train Station,2,,AM,40031-20170524122152_v54.17,,ONE
West Harbour To Auckland,4,,BFL,99511-20170524122152_v54.17,,WSTH
Kingsland Train Station to Britomart Train Station,2,,AM,10023-20170524122152_v54.17,,WEST
Civic Centre To Lynfield Via Waikowhai,3,,NZBML,29902-20170524122152_v54.17,,299
Mayoral Dr To Takapuna Via Northcote,3,,RTH,92202-20170524122152_v54.17,,922
Onehunga High To Onehunga,3,,NZBML,00654-20170524122152_v54.17,,006
Papakura Interchange To Manukau Station Via Porchester Rd,3,,RTH,36501-20170524122152_v54.17,,365
Stanmore Bay To Long Bay,3,,BAYES,02755-20170524122152_v54.17,,027
Papakura To City Via Manurewa (Express),3,,RTH,36003-20170524122152_v54.17,,360X
Helensville To City Centre,3,,RTH,06001-20170524122152_v54.17,,060
Baradene College To Stonefields,3,,HE,02358-20170524122152_v54.17,,023
Manukau Station To Mangere Town Centre Via Otara And Otahuhu,3,,GBT,32502-20170524122152_v54.17,,325
City Centre To Te Papapa,3,,NZBML,39002-20170524122152_v54.17,,390
Red Hill To Papakura Shops,3,,RTH,37301-20170524122152_v54.17,,373
Stanmore Bay to Kingsway School,3,,BAYES,01355-20170524122152_v54.17,,013
Orewa College to Army Bay,3,,BAYES,00454-20170524122152_v54.17,,004
Epsom Schools To St Heliers,3,,NZBML,00452-20170524122152_v54.17,,004
Civic Centre To Onehunga Via Oranga,3,,NZBML,31202-20170524122152_v54.17,,312
Te Huruhi School To Oneroa,3,,WBC,08754-20170524122152_v54.17,,087
Pt Chevalier To Glen Innes,3,,NZBML,00714-20170524122152_v54.17,,007
One Tree Hill College To Panmure Town Centre,3,,NZBML,06156-20170524122152_v54.17,,061
City Centre To Blockhouse Bay,3,,PC,19506-20170524122152_v54.17,,195
Piemelon Bay Rd To Waiheke High School,3,,WBC,09253-20170524122152_v54.17,,092
Sunnynook To Westlake Schools,3,,NZBNS,05157-20170524122152_v54.17,,051
Outer Link Anticlockwise,3,,NZBML,72101-20170524122152_v54.17,,OUT
Avondale College To Henderson,3,,RTH,05358-20170524122152_v54.17,,053
New Lynn To Henderson Via Glen Eden,3,,NZBGW,15404-20170524122152_v54.17,,154
Matiatia Wharf to Waiheke High School,3,,WBC,09051-20170524122152_v54.17,,090
Takapuna To Bayswater Wharf,3,,RTH,80304-20170524122152_v54.17,,803
Puhinui Train Station to Manukau Train Station,2,,AM,50160-20170524122152_v54.17,,EAST
Half Moon Bay To Middlemore Via Otara And Highbrook,3,,HE,57501-20170524122152_v54.17,,575
City Centre To Henderson Via Glen Eden And Rosier Rd,3,,NZBGW,15302-20170524122152_v54.17,,153
Westgate To Mayoral Dr Express Via Greenhithe,3,,RTH,95603-20170524122152_v54.17,,956
Auckland Pier 1 to Half Moon Bay via Rangitoto Island,4,,FGL,95016-20170524122152_v54.17,,HMB
Green Bay High To Glen Eden,3,,RTH,00652-20170524122152_v54.17,,006
Outer Link Mt Eden To CBD Anticlockwise,3,,NZBML,72105-20170524122152_v54.17,,OUT
Balmoral To Epsom Schools,3,,NZBML,03051-20170524122152_v54.17,,030
Ellerslie To Remuera Primary,3,,NZBML,01953-20170524122152_v54.17,,019
Castor Bay To Mayoral Dr,3,,NZBNS,82201-20170524122152_v54.17,,822
New Lynn to Titirangi South Via Titirangi And French Bay,3,,NZBGW,17004-20170524122152_v54.17,,170
Swanson Train Station to Britomart Train Station,2,,AM,10245-20170524122152_v54.17,,WEST
Northcote Intermediate And St Marys Primary To Chatswood,3,,BTL,02858-20170524122152_v54.17,,028
Western Springs College To Herne Bay,3,,NZBML,02056-20170524122152_v54.17,,020
St Johns Schools To Forrest Hill,3,,NZBNS,03156-20170524122152_v54.17,,031
Pt Chevalier To Glen Innes Via Selwyn Village,3,,NZBML,00712-20170524122152_v54.17,,007
Auckland To Pine Harbour,4,,SLPH,99012-20170524122152_v54.17,,PINE
Long Bay Primary To Torbay,3,,NZBNS,01552-20170524122152_v54.17,,015
Remuera Schools To Mt Roskill,3,,NZBML,03154-20170524122152_v54.17,,031
Newmarket To Lucerne Rd Via Benson Rd,3,,NZBML,60504-20170524122152_v54.17,,605
Sturges Road to New Lynn,3,,NZBGW,14901-20170524122152_v54.17,,149
West Harbour To Holy Cross School,3,,RTH,05053-20170524122152_v54.17,,050
Kohimarama To Epsom Schools,3,,NZBML,01757-20170524122152_v54.17,,017
Glenfield Mall To Takapuna,3,,BTL,91505-20170524122152_v54.17,,915
Britomart Train Station to Manukau Train Station,2,,AM,50142-20170524122152_v54.17,,EAST
Dannemora To Somerville Intermediate,3,,HE,31755-20170524122152_v54.17,,317
Sommerville Intermediate To Highland Park,3,,HE,30452-20170524122152_v54.17,,304
Glenfield To Takapuna Via Unsworth Heights,3,,RTH,90503-20170524122152_v54.17,,905
Britomart To Remuera Via Portland Rd,3,,NZBML,70304-20170524122152_v54.17,,703
Stanmore Bay To Orewa College Via Vipond Rd,3,,BAYES,00655-20170524122152_v54.17,,006
May Rd To Civic Centre,3,,NZBML,25501-20170524122152_v54.17,,255
Albany Station To Newmarket,3,,NZBNS,88103-20170524122152_v54.17,,881
Britomart To Glen Innes Express Via Upland Rd And Tamaki Dr,3,,NZBML,68502-20170524122152_v54.17,,685X
Glen Eden To City Centre Express Via Titirangi,3,,NZBGW,17203-20170524122152_v54.17,,172X
Albany To Westlake Schools,3,,NZBNS,04251-20170524122152_v54.17,,042
Wesley College/Paerata To Pukekohe Interchange,3,,RTH,39401-20170524122152_v54.17,,394
Upland Rd To City Centre Via Lucerne Rd And Benson Rd,3,,NZBML,60601-20170524122152_v54.17,,606
Takapuna To Verrans Corner Via Highbury Shops,3,,BTL,97602-20170524122152_v54.17,,976
Westgate To Te Atatu Peninsula,3,,RTH,08201-20170524122152_v54.17,,082
Lynfield To City Centre Via Waikowhai,3,,NZBML,29901-20170524122152_v54.17,,299
Glenfield Shops To Westlake Schools,3,,NZBNS,07451-20170524122152_v54.17,,074
St Lukes To City Centre,3,,NZBGW,22001-20170524122152_v54.17,,220
Stella Maris School To Gulf Harbour,3,,BAYES,02260-20170524122152_v54.17,,022
Westgate To City Centre via Waimumu Road,3,,RTH,07001-20170524122152_v54.17,,070
Ostend To Matiatia Wharf,3,,WBC,00101-20170524122152_v54.17,,1
Mayoral Dr To Long Bay Via North Shore Hospital,3,,NZBNS,85804-20170524122152_v54.17,,858
Constellation Station To Midtown,3,,BTL,95801-20170524122152_v54.17,,958
Balmoral To Mt Albert Grammar,3,,NZBML,00751-20170524122152_v54.17,,007
Rocky Bay To Waiheke Schools,3,,WBC,09751-20170524122152_v54.17,,097
Morningside Train Station to Swanson Train Station,2,,AM,10196-20170524122152_v54.17,,WEST
Westgate To City Centre Via Massey East and Lincoln Rd,3,,RTH,09101-20170524122152_v54.17,,091
New Lynn To City Centre,3,,NZBGW,22301-20170524122152_v54.17,,223
Takapuna To Constellation Station,3,,NZBNS,87302-20170524122152_v54.17,,873
Unsworth Heights To City Centre Express,3,,RTH,90001-20170524122152_v54.17,,900X
Papakura Train Station to Pukekohe Train Station,2,,AM,30118-20170524122152_v54.17,,PUK
Panmure To Selwyn College,3,,HE,04655-20170524122152_v54.17,,046
Howick College To Kilkenny Dr & Chapel Rd,3,,HE,30952-20170524122152_v54.17,,309
Wynyard Quarter To Onehunga Via Unitec,3,,NZBML,01002-20170524122152_v54.17,,010
Pukekohe Interchange To Wesley College/Paerata,3,,RTH,39402-20170524122152_v54.17,,394
Newmarket To Highbury,3,,BTL,96604-20170524122152_v54.17,,966
City Centre To Sturges Road Via Sunnyvale,3,,NZBGW,07902-20170524122152_v54.17,,079
Middlemore Station to Britomart via Greenlane,3,,NZBML,32101-20170524122152_v54.17,,321
Beach Haven To Takapuna Via Birkdale Rd,3,,BTL,97501-20170524122152_v54.17,,975
St Heliers To Pt Chevalier,3,,NZBML,00709-20170524122152_v54.17,,007
Papakura To McAuley High,3,,RTH,05555-20170524122152_v54.17,,055
Epsom Schools To Mission Bay,3,,NZBML,00752-20170524122152_v54.17,,007
Otahuhu Station to Britomart via Ruawai Rd and Panama Rd,3,,NZBML,51501-20170524122152_v54.17,,515
Bayswater To Takapuna,3,,RTH,80307-20170524122152_v54.17,,803
Glen Innes To Edgewater College,3,,HE,32151-20170524122152_v54.17,,321
Sacred Heart To Dannemora,3,,HE,01956-20170524122152_v54.17,,019
Patiki Rd To City Centre,3,,NZBGW,22201-20170524122152_v54.17,,222
Bayswater To Takapuna Via Westlake,3,,RTH,80403-20170524122152_v54.17,,804
City Centre To Henderson Express Via Glendene,3,,NZBGW,11012-20170524122152_v54.17,,11X
Constellation Station To Britomart,3,,RTH,10009-20170524122152_v54.17,,NEX
Mt Albert Grammar To Downtown,3,,NZBML,01452-20170524122152_v54.17,,014
Pakuranga To Sancta Maria College,3,,HE,08851-20170524122152_v54.17,,088
Westgate To Takapuna,3,,RTH,13008-20170524122152_v54.17,,130
Pukekohe to Port Waikato via Tuakau,3,,RTH,39902-20170524122152_v54.17,,399
Epsom And Remuera Schools To Constellation Station,3,,NZBML,06452-20170524122152_v54.17,,064
Manly To KingsWay School,3,,BAYES,01461-20170524122152_v54.17,,014
Otahuhu Train Station to Britomart Train Station,2,,AM,20453-20170524122152_v54.17,,STH
Westlake Schools To Albany,3,,NZBNS,04256-20170524122152_v54.17,,042
Panmure To Bucklands Beach,3,,HE,55206-20170524122152_v54.17,,552
Matiatia Wharf To Rocky Bay,3,,WBC,00202-20170524122152_v54.17,,2
Albany Station To Takapuna,3,,NZBNS,89101-20170524122152_v54.17,,891
City Centre To Westgate Via Massey East,3,,RTH,09002-20170524122152_v54.17,,090
Blockhouse Bay To Midtown not stopping at Richardson Tavern,3,,NZBML,24805-20170524122152_v54.17,,248
Edgewater College To Otahuhu,3,,GBT,07352-20170524122152_v54.17,,073
Te Atatu Peninsula To City Centre,3,,NZBGW,04801-20170524122152_v54.17,,048
City Centre To Ranui Via New Lynn,3,,NZBGW,13602-20170524122152_v54.17,,136
Orewa To Rosmini College And Westlake Boys,3,,NZBNS,04653-20170524122152_v54.17,,046
Royal Oak Intermediate To Mangere Town Centre,3,,GBT,06162-20170524122152_v54.17,,061
Sylvan Ave To Mayoral Dr,3,,RTH,92003-20170524122152_v54.17,,920
Seventh Day Adventist Primary To Papatoetoe,3,,GBT,05156-20170524122152_v54.17,,051
Britomart To North Park Express,3,,HE,55104-20170524122152_v54.17,,551X
Takapuna Loop,3,,RTH,80309-20170524122152_v54.17,,803
New Lynn Local,3,,PC,10401-20170524122152_v54.17,,104
Henderson To City Centre Via Glendene,3,,NZBGW,11501-20170524122152_v54.17,,115
Conifer Grove To Rosehill Schools,3,,RTH,05551-20170524122152_v54.17,,055
Northcote Intermediate And St Marys Primary To Maritime Tce,3,,BTL,02956-20170524122152_v54.17,,029
Piemelon Bay Rd To Te Huruhi School,3,,WBC,09251-20170524122152_v54.17,,092
Westgate To City Centre,3,,RTH,08001-20170524122152_v54.17,,080
Civic Centre To May Rd Via Flyover,3,,NZBML,25504-20170524122152_v54.17,,255
Onehunga to St Lukes,3,,NZBML,01101-20170524122152_v54.17,,011
Pt Chevalier To St Heliers Via Selwyn Village And Hospital,3,,NZBML,00708-20170524122152_v54.17,,007
St Josephs School To Sunnynook,3,,NZBNS,01456-20170524122152_v54.17,,014
Laingholm To New Lynn,3,,RTH,17101-20170524122152_v54.17,,171
Epsom Schools to St Heliers Via St Johns Rd,3,,NZBML,01654-20170524122152_v54.17,,016
Birkenhead To Auckland,4,,FGL,91013-20170524122152_v54.17,,BIRK
Mayoral Dr To Hillcrest,3,,RTH,92102-20170524122152_v54.17,,921
Midtown To New Lynn Express,3,,NZBML,22304-20170524122152_v54.17,,223X
Kelston Schools To Parrs Park,3,,RTH,02154-20170524122152_v54.17,,021
Bucklands Beach To Panmure Via Eastern Beach,3,,HE,55211-20170524122152_v54.17,,552
Holy Cross School To West Harbour,3,,RTH,05052-20170524122152_v54.17,,050
Kaurilands To Green Bay High,3,,RTH,00553-20170524122152_v54.17,,005
Remuera Intermediate To Kohimarama,3,,NZBML,05652-20170524122152_v54.17,,056
Midtown To Beach Haven Via Birkdale Rd,3,,BTL,97404-20170524122152_v54.17,,974
Takapuna Grammar To Takapuna,3,,NZBNS,81352-20170524122152_v54.17,,813
Torbay To Mayoral Dr Express,3,,NZBNS,85003-20170524122152_v54.17,,85X
