8300033627-20170322104732_v52.21,30003-20170322104732_v52.21,6215,-117,NA,10,7053,1491500103
8300033627-20170322104732_v52.21,30003-20170322104732_v52.21,6215,-117,NA,10,7053,1491500103
8300033627-20170322104732_v52.21,30003-20170322104732_v52.21,6215,-117,NA,10,7053,1491500103
8300033627-20170322104732_v52.21,30003-20170322104732_v52.21,6215,-117,NA,10,7053,1491500103
8300033627-20170322104732_v52.21,30003-20170322104732_v52.21,6215,-117,NA,10,7053,1491500103
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-287,10,7053,1491501733
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-287,10,7053,1491501733
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-287,10,7053,1491501733
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,-124,NA,10,7053,1491501896
8300033626-20170322104732_v52.21,30003-20170322104732_v52.21,621E,NA,6570,1,2200,1491501870
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,-124,NA,10,7053,1491501896
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-295,12,7018,1491502025
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-258,12,7018,1491502062
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-258,12,7018,1491502062
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-258,12,7018,1491502062
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-258,12,7018,1491502062
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6214,NA,-258,12,7018,1491502062
