"School","L1","L2","L3","UE","Decile","Region"
"Te Kura Kaupapa Maori O Ruamata",0.52,0.75,0.857,0.313,3,"Taupo"
"Te Kura Kaupapa Maori O Te Ara Hou",0.917,1,1,1,1,"Hawkes Bay"
"Te Kura Kaupapa Maori O Te Koutu",0.6,0.8,1,1,3,"Taupo"
"Te Kura Kaupapa Maori o Te Rawhitiroa",0.333,0.889,1,NA,1,"Northland"
"Te Kura Kaupapa Maori O Te Rito",0.5,1,1,0.714,5,"Palmerston North/Manawatu"
"Te Kura Kaupapa Maori o te Tonga o Hokianga",1,1,1,0.5,2,"Northland"
"Te Kura Kaupapa Maori O Te Waiu O Ngati Porou",0.857,1,0.667,0.167,1,"Gisborne/East Coast"
"Te Kura Mana Maori O Whangaparaoa",1,1,1,0.25,2,"Bay of Plenty"
"Te Kura Maori o Nga Tapuwae",0.944,0.944,0.8,0.667,2,"Auckland"
"Te Kura Maori o Porirua",0.929,1,1,0.2,3,"Wellington/Kapiti"
"Te Kura O Hirangi",1,1,1,NA,1,"Bay of Plenty"
"Te Kura Taumata O Panguru",1,1,0.5,0.333,1,"Northland"
"Te Kura-a-iwi o Whakatupuranga Rua Mano",1,0.857,1,NA,3,"Wellington/Kapiti"
"Te Pa o Rakaihautu",0.545,NA,NA,NA,4,"Unknown"
"Te Puke High School",0.888,0.948,0.843,0.576,3,"Bay of Plenty"
"Te Waha O Rerekohu Area School",0.857,1,0.833,0.667,1,"Gisborne/East Coast"
"Te Wharekura o Manaia",0.733,0.667,0.5,0.5,2,"Hamilton/Waikato"
"Te Wharekura o Maniapoto",0.9,1,1,NA,3,"Hamilton/Waikato"
"Te Wharekura o Mauao",0.882,0.92,1,0.833,3,"Bay of Plenty"
"Te Wharekura o Rakaumangamanga",0.8,1,0.929,0.4,1,"Hamilton/Waikato"
"Te Wharekura o Ruatoki",0.727,0.333,NA,0.333,2,"Bay of Plenty"
"Tereora College",0.908,0.897,0.847,0.266,0,"Pacific Islands"
"Thames High School",0.853,0.925,0.897,0.794,5,"Hamilton/Waikato"
"The Catlins Area School",1,1,1,0.167,7,"Dunedin/Otago"
"Tikipunga High School",0.85,0.932,0.88,0.407,2,"Northland"
"Timaru Boys' High School",0.813,0.908,0.841,0.578,7,"Christchurch/Canterbury"
"Timaru Girls' High School",0.944,0.882,0.964,0.825,6,"Christchurch/Canterbury"
"Titikaveka College",0.538,NA,NA,NA,0,"Pacific Islands"
"Tokomairiro High School",0.846,0.943,0.625,0.438,4,"Dunedin/Otago"
"Tokoroa High School",0.937,0.959,0.868,0.294,2,"Taupo"
"Tolaga Bay Area School",0.536,0.667,0.647,0.412,1,"Gisborne/East Coast"
"Tongariro School",0.591,0.722,0.889,0.273,1,"Taupo"
"Trident High School",0.913,0.946,0.945,0.586,4,"Bay of Plenty"
"Tuakau College",0.872,0.926,0.814,0.442,4,"Auckland"
"Twizel Area School",1,0.857,0.625,0.25,8,"Christchurch/Canterbury"
"Upper Hutt College",0.86,0.847,0.677,0.442,6,"Wellington/Kapiti"
"Vanguard Military School (Partnership School)",0.981,0.956,0.941,0.294,0,"Auckland"
"Verdon College",0.923,0.904,0.632,0.474,6,"Invercargill/Southland"
"Villa Maria College",0.942,0.959,0.974,0.887,9,"Christchurch/Canterbury"
"Wa Ora Montessori School",1,1,1,0.571,8,"Wellington/Kapiti"
"Waiheke High School",0.935,0.945,0.83,0.511,7,"Auckland"
"Waihi College",0.833,0.879,0.771,0.51,4,"Bay of Plenty"
"Waikato Diocesan School For Girls",0.986,0.984,0.957,0.898,10,"Hamilton/Waikato"
"Waimate High School",0.692,0.862,0.667,0.533,5,"Christchurch/Canterbury"
"Waimea College",0.924,0.926,0.822,0.617,8,"Nelson/Marlborough"
"Wainuiomata High School",0.789,0.786,0.705,0.392,3,"Wellington/Kapiti"
"Waiopehu College",0.793,0.771,0.597,0.516,2,"Palmerston North/Manawatu"
"Wairarapa College",0.767,0.809,0.764,0.479,6,"Wairarapa"
"Wairoa College",0.764,0.805,0.594,0.219,1,"Hawkes Bay"
"Waitakere College",0.9,0.894,0.698,0.425,3,"Auckland"
"Waitaki Boys' High School",0.725,0.819,0.8,0.66,6,"Dunedin/Otago"
"Waitaki Girls' High School",0.835,0.857,0.66,0.547,6,"Dunedin/Otago"
"Waitara High School",0.857,0.863,0.659,0.415,3,"New Plymouth/Taranaki"
"Waiuku College",0.865,0.921,0.804,0.412,6,"Auckland"
"Wakatipu High School",0.913,0.923,0.83,0.742,10,"Dunedin/Otago"
"Wanganui Collegiate School",0.975,0.991,0.883,0.757,9,"Palmerston North/Manawatu"
"Wellington College",0.927,0.939,0.907,0.801,10,"Wellington/Kapiti"
"Wellington East Girls' College",0.927,0.925,0.874,0.717,8,"Wellington/Kapiti"
"Wellington Girls' College",0.955,0.95,0.967,0.889,10,"Wellington/Kapiti"
"Wellington High School",0.859,0.826,0.771,0.605,9,"Wellington/Kapiti"
"Wesley College",0.885,0.958,0.815,0.338,1,"Auckland"
"Western Heights High School",0.928,0.91,0.837,0.492,4,"Taupo"
"Western Springs College",0.915,0.957,0.896,0.801,8,"Auckland"
"Westlake Boys' High School",0.895,0.883,0.881,0.717,9,"Auckland"
"Westlake Girls' High School",0.909,0.971,0.921,0.869,9,"Auckland"
"Westland High School",0.484,0.824,0.7,0.4,6,"West Coast"
"Westmount School",0.938,0.964,0.842,0.698,9,"Auckland"
"Whakatane High School",0.907,0.924,0.849,0.541,4,"Bay of Plenty"
"Whangamata Area School",0.895,0.783,0.833,0.615,4,"Bay of Plenty"
"Whanganui City College",0.831,0.845,0.833,0.158,2,"Palmerston North/Manawatu"
"Whanganui Girls' College",0.727,0.963,0.698,0.465,3,"Palmerston North/Manawatu"
"Whanganui High School",0.907,0.882,0.862,0.619,4,"Palmerston North/Manawatu"
"Whangaparaoa College",0.849,0.886,0.832,0.613,9,"Auckland"
"Whangarei Boys' High School",0.811,0.866,0.739,0.481,5,"Northland"
"Whangarei Girls' High School",0.829,0.926,0.755,0.599,5,"Northland"
"Whangaroa College",0.556,0.538,0.833,0.167,1,"Northland"
"William Colenso College",0.903,0.944,0.926,0.3,2,"Hawkes Bay"
"Woodford House",1,0.974,1,0.949,9,"Hawkes Bay"
"Zayed College for Girls",0.909,1,1,0.778,3,"Auckland"
