"School","L1","L2","L3","UE","Decile","Region"
"Glendowie College",0.97,0.956,0.927,0.768,10,"Auckland"
"Glenfield College",0.927,0.951,0.944,0.662,6,"Auckland"
"Golden Bay High School",0.911,0.842,0.833,0.7,6,"Nelson/Marlborough"
"Gore High School",0.955,0.904,0.833,0.6,6,"Invercargill/Southland"
"Green Bay High School",0.933,0.915,0.847,0.667,8,"Auckland"
"Greymouth High School",0.828,0.865,0.636,0.409,4,"West Coast"
"Hagley Community College",0.761,0.736,0.735,0.549,6,"Christchurch/Canterbury"
"Hamilton Boys' High School",0.906,0.956,0.848,0.62,7,"Hamilton/Waikato"
"Hamilton Christian School",0.927,0.944,0.95,0.9,9,"Hamilton/Waikato"
"Hamilton Girls' High School",0.854,0.889,0.776,0.58,6,"Hamilton/Waikato"
"Hastings Boys' High School",0.978,0.985,0.989,0.629,2,"Hawkes Bay"
"Hastings Christian School",0.963,1,0.929,0.786,7,"Hawkes Bay"
"Hastings Girls' High School",0.941,0.944,0.894,0.524,3,"Hawkes Bay"
"Hato Paora College",0.923,0.833,1,0.875,4,"Palmerston North/Manawatu"
"Hato Petera College",0.5,0.9,0.5,NA,3,"Auckland"
"Hauraki Plains College",0.993,0.993,0.978,0.533,5,"Hamilton/Waikato"
"Havelock North High School",0.985,0.929,0.894,0.796,8,"Hawkes Bay"
"Hawera High School",0.752,0.823,0.718,0.494,5,"New Plymouth/Taranaki"
"Hebron Christian College",1,0.75,0.909,0.818,7,"Auckland"
"Henderson High School",1,0.989,0.966,0.443,3,"Auckland"
"Heretaunga College",0.796,0.795,0.6,0.33,6,"Wellington/Kapiti"
"Hillcrest High School",0.855,0.883,0.787,0.63,7,"Hamilton/Waikato"
"Hillmorton High School",0.871,0.8,0.667,0.373,4,"Christchurch/Canterbury"
"Hornby High School",0.703,0.714,0.482,0.304,3,"Christchurch/Canterbury"
"Horowhenua College",0.783,0.81,0.89,0.634,3,"Palmerston North/Manawatu"
"Howick College",0.807,0.884,0.878,0.738,8,"Auckland"
