8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,252,6,7168,1490975922
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6215,299,NA,9,8516,1490976239
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,403,11,8532,1490976523
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,131,13,2010,1490977751
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6215,182,NA,1,2200,1490977982
8300033628-20170322104732_v52.21,30003-20170322104732_v52.21,6215,NA,-317,12,7018,1490980003
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,115,NA,2,1464,1490980765
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,-27,NA,7,8502,1490981373
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,-193,NA,11,8532,1490981807
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,47,NA,4,7062,1490980997
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,-658,12,2006,1490982842
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,-100,NA,9,8516,1490981600
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,-729,13,2010,1490983071
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6215,NA,-367,13,2010,1490983433
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,-16,NA,1,2200,1490983784
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,-1,NA,2,2006,1490984099
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,NA,-52,2,2006,1490984048
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,-317,NA,4,8419,1490985238
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,-473,NA,6,7063,1490985592
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,NA,-484,7,7060,1490985836
8300033720-20170322104732_v52.21,30011-20170322104732_v52.21,6215,NA,-127,7,7060,1490986193
8300033580-20170322104732_v52.21,30012-20170322104732_v52.21,6215,-238,NA,7,8428,1490987462
8300033580-20170322104732_v52.21,30012-20170322104732_v52.21,6215,NA,-903,9,2010,1490988597
8300033580-20170322104732_v52.21,30012-20170322104732_v52.21,6215,-344,NA,4,7168,1490986906
8300033580-20170322104732_v52.21,30012-20170322104732_v52.21,6215,-206,NA,6,8418,1490987344
8300033580-20170322104732_v52.21,30012-20170322104732_v52.21,6215,NA,-868,9,2010,1490988632
8300033731-20170322104732_v52.21,30011-20170322104732_v52.21,6215,NA,-305,1,2200,1490989495
8300033731-20170322104732_v52.21,30011-20170322104732_v52.21,6215,141,NA,2,2006,1490990241
